Type,Commodity,KGs,Value_of_Goods_Exported,Date
Vegetables,Aloe vera,20.0,16075.0,01/25/2015 12:00:00 AM
Vegetables,Melissa,6.0,2724.0,01/25/2015 12:00:00 AM
Vegetables,Pepper mint,947.84,357769.0,01/25/2015 12:00:00 AM
Vegetables,Tarragon,78.0,48269.0,01/25/2015 12:00:00 AM
Vegetables,Basil,18222.95,7707747.0,01/25/2015 12:00:00 AM
Vegetables,Chillies,78546.1,26514385.0,01/25/2015 12:00:00 AM
Vegetables,Chives,7922.0,4506298.0,01/25/2015 12:00:00 AM
Vegetables,Coriander/dhania,1008.81,371316.0,01/25/2015 12:00:00 AM
Vegetables,Dill,1032.0,537737.0,01/25/2015 12:00:00 AM
Vegetables,Leeks,199.78,100352.0,01/25/2015 12:00:00 AM
Vegetables,Onions,9276.17,4033116.0,01/25/2015 12:00:00 AM
Vegetables,Parsley,1058.0,501217.0,01/25/2015 12:00:00 AM
Vegetables,Rosemary,659.1,342766.0,01/25/2015 12:00:00 AM
Vegetables,Thyme,880.69,544176.0,01/25/2015 12:00:00 AM
Vegetables,Arrow roots(nduma),200.0,3347.0,01/25/2015 12:00:00 AM
Vegetables,Aubergines,79363.4,16516237.0,01/25/2015 12:00:00 AM
Vegetables,Baby corn,10656.7,3948408.0,01/25/2015 12:00:00 AM
Vegetables,Fine beans,1535440.19,418457153.0,01/25/2015 12:00:00 AM
Vegetables,Beetroot,174.94,73704.0,01/25/2015 12:00:00 AM
Vegetables,Broccoli,104187.32,41643645.0,01/25/2015 12:00:00 AM
Vegetables,Butter nuts,19.0,2724.0,01/25/2015 12:00:00 AM
Vegetables,Carrots,584.1,324293.0,01/25/2015 12:00:00 AM
Vegetables,Courgettes/zucchine,630.19,214936.0,01/25/2015 12:00:00 AM
Vegetables,Dudhi,1080.5,298869.0,01/25/2015 12:00:00 AM
Vegetables,Garden peas,17759.7,7948616.0,01/25/2015 12:00:00 AM
Vegetables,Gunda,18.0,3709.0,01/25/2015 12:00:00 AM
Vegetables,Karella,2131.0,692077.0,01/25/2015 12:00:00 AM
Vegetables,Matoke,300.0,92891.0,01/25/2015 12:00:00 AM
Vegetables,Mixed vegetables,1992727.38,729606484.0,01/25/2015 12:00:00 AM
Vegetables,Okra,4447.5,1196685.0,01/25/2015 12:00:00 AM
Vegetables,Patra/arrow root leaves,1854.0,670901.0,01/25/2015 12:00:00 AM
Vegetables,Runner beans,59999.7,20054844.0,01/25/2015 12:00:00 AM
Vegetables,Serenade,1813.0,993107.0,01/25/2015 12:00:00 AM
Vegetables,Snap peas,71288.28,41943910.0,01/25/2015 12:00:00 AM
Vegetables,Snow/mangetout,191906.1,60253060.0,01/25/2015 12:00:00 AM
Vegetables,Sugar cane,45.0,14077.0,01/25/2015 12:00:00 AM
Vegetables,Sweet potatoes,32.0,464.0,01/25/2015 12:00:00 AM
Vegetables,Turia,72.0,18084.0,01/25/2015 12:00:00 AM
Vegetables,Turnips,197.6,139854.0,01/25/2015 12:00:00 AM
Vegetables,Valore,290.0,92940.0,01/25/2015 12:00:00 AM
Vegetables,Bean processed,798685.0,98785065.0,01/25/2015 12:00:00 AM
Vegetables,Herbs,113981.0,66894102.0,01/25/2015 12:00:00 AM
Cut-flowers,Anthurium leaves,1200.0,497424.0,02/25/2015 12:00:00 AM
Cut-flowers,Cut foliage,4802.27,2651682.0,02/25/2015 12:00:00 AM
Cut-flowers,Leather leaves/fern,459.71,124800.0,02/25/2015 12:00:00 AM
Cut-flowers,Agapanthus,15673.98,2179164.0,02/25/2015 12:00:00 AM
Cut-flowers,Alstroemeria,90420.8,42723492.0,02/25/2015 12:00:00 AM
Cut-flowers,Amaranthus,95.33,134494.0,02/25/2015 12:00:00 AM
Cut-flowers,Ammi,21960.69,6655274.0,02/25/2015 12:00:00 AM
Cut-flowers,Anigozanthos,23.03,13253.0,02/25/2015 12:00:00 AM
Cut-flowers,Anthurium,2781.64,794366.0,02/25/2015 12:00:00 AM
Cut-flowers,Arabicum / saundersiea,12804.03,2800560.0,02/25/2015 12:00:00 AM
Cut-flowers,Asclepias,533.0,148572.0,02/25/2015 12:00:00 AM
Cut-flowers,Asparagus fern,260.04,60284.0,02/25/2015 12:00:00 AM
Cut-flowers,Assorted/bouquet,19188.35,12440691.0,02/25/2015 12:00:00 AM
Cut-flowers,Astrantia,2314.4,926058.0,02/25/2015 12:00:00 AM
Cut-flowers,Bougainvillea,3435.72,2422994.0,02/25/2015 12:00:00 AM
Cut-flowers,Bouvadia,619.05,1166744.0,02/25/2015 12:00:00 AM
Cut-flowers,Brodiaea,786.71,724128.0,02/25/2015 12:00:00 AM
Cut-flowers,Bupleurum,2013.99,864009.0,02/25/2015 12:00:00 AM
