Type,Commodity,KGs,Value_of_Goods_Exported,Date
Cut-flowers,Rose cuttings,8524.4,3491651,01/25/2015 12:00:00 AM
Fruits,Apple,1292,204772,01/25/2015 12:00:00 AM
Fruits,Avocado,1126342.1,133700475,01/25/2015 12:00:00 AM
Fruits,Banana,45,9366,01/25/2015 12:00:00 AM
Fruits,Custard apple / sour sop,1545,280289,01/25/2015 12:00:00 AM
Fruits,Lemon,797.5,491548,01/25/2015 12:00:00 AM
Fruits,Passion fruit juice,0,0,01/25/2015 12:00:00 AM
Fruits,Passion,38510.67,10440371,01/25/2015 12:00:00 AM
Fruits,Pawpaw,175.4,36780,01/25/2015 12:00:00 AM
Fruits,Pineapple,114,893,01/25/2015 12:00:00 AM
Fruits,Raspberries/blisses,68904.38,136922679,01/25/2015 12:00:00 AM
Fruits,Strawberry,0,0,01/25/2015 12:00:00 AM
Fruits,Mango,1476687.25,194731742,01/25/2015 12:00:00 AM
Fruits,Macadamia,0,0,01/25/2015 12:00:00 AM
Vegetables,Aloe vera,20,16075,01/25/2015 12:00:00 AM
Vegetables,Melissa,6,2724,01/25/2015 12:00:00 AM
Vegetables,Pepper mint,947.84,357769,01/25/2015 12:00:00 AM
Vegetables,Tarragon,78,48269,01/25/2015 12:00:00 AM
Vegetables,Chillies dried,0,0,01/25/2015 12:00:00 AM
Vegetables,Basil,18222.95,7707747,01/25/2015 12:00:00 AM
Vegetables,Celery,0,0,01/25/2015 12:00:00 AM
Vegetables,Chillies,78546.1,26514385,01/25/2015 12:00:00 AM
Vegetables,Chives,7922,4506298,01/25/2015 12:00:00 AM
Vegetables,Coriander/dhania,1008.81,371316,01/25/2015 12:00:00 AM
Vegetables,Curry leaves/limdi,0,0,01/25/2015 12:00:00 AM
Vegetables,Dill,1032,537737,01/25/2015 12:00:00 AM
Vegetables,Leeks,199.78,100352,01/25/2015 12:00:00 AM
Vegetables,Onions,9276.17,4033116,01/25/2015 12:00:00 AM
Vegetables,Parsley,1058,501217,01/25/2015 12:00:00 AM
Vegetables,Rosemary,659.1,342766,01/25/2015 12:00:00 AM
Vegetables,Thyme,880.69,544176,01/25/2015 12:00:00 AM
Vegetables,Amaranthus leaves,0,0,01/25/2015 12:00:00 AM
Vegetables,Arrow roots(nduma),200,3347,01/25/2015 12:00:00 AM
Vegetables,Asparagus,0,0,01/25/2015 12:00:00 AM
Vegetables,Aubergines,79363.4,16516237,01/25/2015 12:00:00 AM
Vegetables,Baby corn,10656.7,3948408,01/25/2015 12:00:00 AM
Vegetables,Fine beans,1535440.19,418457153,01/25/2015 12:00:00 AM
Vegetables,Beetroot,174.94,73704,01/25/2015 12:00:00 AM
Vegetables,Broccoli,104187.32,41643645,01/25/2015 12:00:00 AM
Vegetables,Butter nuts,19,2724,01/25/2015 12:00:00 AM
Vegetables,Cabbage,0,0,01/25/2015 12:00:00 AM
Vegetables,Carrots,584.1,324293,01/25/2015 12:00:00 AM
Vegetables,Courgettes/zucchine,630.19,214936,01/25/2015 12:00:00 AM
Vegetables,Cucumber,0,0,01/25/2015 12:00:00 AM
Vegetables,Dudhi,1080.5,298869,01/25/2015 12:00:00 AM
Vegetables,Garden peas,17759.7,7948616,01/25/2015 12:00:00 AM
Vegetables,Green maize,0,0,01/25/2015 12:00:00 AM
Vegetables,Gunda,18,3709,01/25/2015 12:00:00 AM
Vegetables,Karella,2131,692077,01/25/2015 12:00:00 AM
Vegetables,Matoke,300,92891,01/25/2015 12:00:00 AM
Vegetables,Mixed vegetables,1992727.38,729606484,01/25/2015 12:00:00 AM
Vegetables,Okra,4447.5,1196685,01/25/2015 12:00:00 AM
Vegetables,Patra/arrow root leaves,1854,670901,01/25/2015 12:00:00 AM
Vegetables,Pumpkin,0,0,01/25/2015 12:00:00 AM
Vegetables,Rhubarb,0,0,01/25/2015 12:00:00 AM
Vegetables,Runner beans,59999.7,20054844,01/25/2015 12:00:00 AM
Vegetables,Serenade,1813,993107,01/25/2015 12:00:00 AM
Vegetables,Snap peas,71288.28,41943910,01/25/2015 12:00:00 AM
Vegetables,Snow/mangetout,191906.1,60253060,01/25/2015 12:00:00 AM
Vegetables,Spinach/palak,0,0,01/25/2015 12:00:00 AM
Vegetables,Sugar cane,45,14077,01/25/2015 12:00:00 AM
Vegetables,Sweet potatoes,32,464,01/25/2015 12:00:00 AM
Vegetables,Tindori/ivy guard,0,0,01/25/2015 12:00:00 AM
Vegetables,Tomato,0,0,01/25/2015 12:00:00 AM
Vegetables,Turia,72,18084,01/25/2015 12:00:00 AM
Vegetables,Turnips,197.6,139854,01/25/2015 12:00:00 AM
Vegetables,Valore,290,92940,01/25/2015 12:00:00 AM
Vegetables,Bean processed,798685,98785065,01/25/2015 12:00:00 AM
Vegetables,Snow/mangetout,0,0,01/25/2015 12:00:00 AM
Vegetables,Herbs,113981,66894102,01/25/2015 12:00:00 AM
Cut-flowers,Anthurium leaves,1200,497424,02/25/2015 12:00:00 AM
Cut-flowers,Cut foliage,4802.27,2651682,02/25/2015 12:00:00 AM
Cut-flowers,Fillers,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Leather leaves/fern,459.71,124800,02/25/2015 12:00:00 AM
Cut-flowers,Ranunculus,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Dried carnations,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Dried rose,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Achillea,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Agapanthus,15673.98,2179164,02/25/2015 12:00:00 AM
Cut-flowers,Alstroemeria,90420.8,42723492,02/25/2015 12:00:00 AM
Cut-flowers,Amaranthus,95.33,134494,02/25/2015 12:00:00 AM
Cut-flowers,Ammi,21960.69,6655274,02/25/2015 12:00:00 AM
Cut-flowers,Anigozanthos,23.03,13253,02/25/2015 12:00:00 AM
Cut-flowers,Anthurium,2781.64,794366,02/25/2015 12:00:00 AM
Cut-flowers,Arabicum / saundersiea,12804.03,2800560,02/25/2015 12:00:00 AM
Cut-flowers,Asclepias,533,148572,02/25/2015 12:00:00 AM
Cut-flowers,Asparagus fern,260.04,60284,02/25/2015 12:00:00 AM
Cut-flowers,Assorted/bouquet,19188.35,12440691,02/25/2015 12:00:00 AM
Cut-flowers,Asters,0,0,02/25/2015 12:00:00 AM
